iter	Accuracy	MultiLogloss
0	0.001892915089	0.4813359721
1	0.01081665765	0.3491865584
2	0.004867495944	0.2645266722
3	0.01054624121	0.2109737442
4	0.006760411033	0.1750890924
5	0.004597079502	0.1493254682
6	0.02974580855	0.1324367667
7	0.008653326122	0.1211457613
